Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body
3083,imageology,Noun,"The study of images, especially those produced by medical imaging 2015 July 2, Hao Zeng et al., Comparison of three surgical approaches for cervicothoracic spinal tuberculosis: a retrospective casecontrol study, in Journal of Orthopaedic Surgery and Research[1], volume 10, DOI:10.1186/s13018-015-0238-0:In our study, patients in group B indeed harvested perfect clinical and imageology outcomes during the follow-up (Fig",True,"2 ); however, the longer operation and hospitalization time, more loss of bleeding, and anteriorposterior routine-related complications made the combined anterior and posterior (AP) approach not applicable to all CTSTBs, except multi-level segments lesion, severe destruction, and complex kyphosis deformity [ 19 ].",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
3190,imagology,Noun,The study of cultural stereotypes as presented in literature etc,True,"2016, Reingard M. Nischik, On Imagology, Canadian-US Relations, and Popular Culture: National Images and Border Crossings in Margaret Atwoods Works, in Comparative North American Studies, page 93:Applied to American Studies, imagologythe term derives from Latin imago/imageasks not how Americans themselves see America, but how other cultures view the United States. In other words, what is the image of the United States as seen in literatures from outside the United States?",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4298,immunobiology,Noun,The branch of biology that deals with the biological effects of the immune system,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4351,immunochemistry,Noun,the study of the structure of antibody molecules (immunoglobulins) and of their ability to bind with antigens of diverse chemical structure,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4515,immunoecology,Noun,The study of interactions between immunology and ecology,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4605,immunogenetics,Noun,"The study of the genetic basis for the immune response, and of the relationships between genetics and immunity from disease",True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4634,immunohematology,Noun,The study of the relationships between disorders of the blood and the immune system,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4675,immunoinformatics,Noun,The branch of bioinformatics that deals with immunology,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4743,immunology,Noun,The branch of medicine that concerns the body's immune system,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4762,immunometabolism,Noun,"The study of the interaction between the immune system and metabolism 2015 September 15, Characterization of In Vitro Engineered Human Adipose Tissues: Relevant Adipokine Secretion and Impact of TNF-, in PLOS ONE[1], DOI:10.1371/journal.pone.0137612:In fact, a novel research area termed immunometabolism has emerged from the study of ATs roles in metabolism and immunity, which contribute to the pathogenesis of obesity-associated dysfunctions [23, 24 ].",True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4798,immunomorphology,Noun,The study of the relationship between form and function of immunological species such as antigens,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4844,immunopathology,Noun,The branch of immunology that studies the relation of the immune system to disease; a disease caused by a disruption of the immune system,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4856,immunopeptidomics,Noun,The branch of molecular biology that studies the set of immunopeptides of an organism,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4868,immunopharmacology,Noun,The branch of pharmacology that deals with the immune system,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
4961,immunoproteomics,Noun,"The study of an immunoproteome 2016 February 24, Identification of Immunoreactive Leishmania infantum Protein Antigens to Asymptomatic Dog Sera through Combined Immunoproteomics and Bioinformatics Analysis, in PLOS ONE[1], DOI:10.1371/journal.pone.0149894:Our results suggest that the combination of immunoproteomics and bioinformatics analyses is a promising method for the identification of novel candidate antigens for vaccine development or with potential use in the development of sensitive diagnostic tests.",True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
5052,immunoserology,Noun,The branch of serology that involves studies of the immune response,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
5188,immunotoxicology,Noun,The study of dysfunction of the immune system caused by a xenobiotic,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
5219,immunovirology,Noun,The study of the interactions between viruses and the immune system,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
